id,name,aliases,type,country_code
Asia/Ulaanbaatar,Ulaanbaatar,Asia/Ulaanbaatar|Asia|Asia,timezone,MN
Asia/Hovd,Hovd,Asia/Hovd|Asia|Asia,timezone,MN
Asia/Macau,Macau,Asia/Macau|Asia|Asia,timezone,MO
Pacific/Saipan,Saipan,Pacific/Saipan|Pacific|Pacific,timezone,MP
America/Martinique,Martinique,America/Martinique|America|America,timezone,MQ
Africa/Nouakchott,Nouakchott,Africa/Nouakchott|Africa|Africa,timezone,MR
America/Montserrat,Montserrat,America/Montserrat|America|America,timezone,MS
Europe/Malta,Malta,Europe/Malta|Europe|Europe,timezone,MT
Indian/Mauritius,Mauritius,Indian/Mauritius|Indian|Indian,timezone,MU
Indian/Maldives,Maldives,Indian/Maldives|Indian|Indian,timezone,MV
Africa/Blantyre,Blantyre,Africa/Blantyre|Africa|Africa,timezone,MW
America/Mexico_City,Mexico City,America/Mexico City|America|America,timezone,MX
America/Cancun,Cancun,America/Cancun|America|America,timezone,MX
America/Merida,Merida,America/Merida|America|America,timezone,MX
America/Monterrey,Monterrey,America/Monterrey|America|America,timezone,MX
America/Matamoros,Matamoros,America/Matamoros|America|America,timezone,MX
America/Chihuahua,Chihuahua,America/Chihuahua|America|America,timezone,MX
America/Ciudad_Juarez,Ciudad Juarez,America/Ciudad Juarez|America|America,timezone,MX
America/Ojinaga,Ojinaga,America/Ojinaga|America|America,timezone,MX
America/Mazatlan,Mazatlan,America/Mazatlan|America|America,timezone,MX
America/Bahia_Banderas,Bahia Banderas,America/Bahia Banderas|America|America,timezone,MX
America/Hermosillo,Hermosillo,America/Hermosillo|America|America,timezone,MX
America/Tijuana,Tijuana,America/Tijuana|America|America,timezone,MX
Asia/Kuala_Lumpur,Kuala Lumpur,Asia/Kuala Lumpur|Asia|Asia,timezone,MY
Asia/Kuching,Kuching,Asia/Kuching|Asia|Asia,timezone,MY
Africa/Maputo,Maputo,Africa/Maputo|Africa|Africa,timezone,MZ
Africa/Windhoek,Windhoek,Africa/Windhoek|Africa|Africa,timezone,NA
Pacific/Noumea,Noumea,Pacific/Noumea|Pacific|Pacific,timezone,NC
Africa/Niamey,Niamey,Africa/Niamey|Africa|Africa,timezone,NE
Pacific/Norfolk,Norfolk,Pacific/Norfolk|Pacific|Pacific,timezone,NF
Africa/Lagos,Lagos,Africa/Lagos|Africa|Africa,timezone,NG
America/Managua,Managua,America/Managua|America|America,timezone,NI
Europe/Amsterdam,Amsterdam,Europe/Amsterdam|Europe|Europe,timezone,NL
Europe/Oslo,Oslo,Europe/Oslo|Europe|Europe,timezone,NO
